user,hora_login,ip_origen,bytes_sent,failed_logins
carlos.lopez,9.35,10.0.1.5,78777.84,1
carlos.lopez,9.36,192.168.1.20,11557.73,1
juan.rodriguez,8.07,10.0.3.8,130006.66,1
carlos.lopez,5.38,10.0.1.5,152271.9,0
maria.perez,8.53,10.0.2.4,69688.27,0
maria.perez,9.79,10.0.2.3,75334.16,1
juan.rodriguez,8.79,10.0.3.8,168636.0,0
carlos.lopez,11.77,192.168.1.20,21269.68,0
carlos.lopez,9.48,10.0.1.5,108530.13,0
carlos.lopez,6.46,10.0.1.6,71568.04,0
carlos.lopez,6.44,192.168.1.20,145166.65,0
juan.rodriguez,10.18,192.168.1.40,36662.46,0
carlos.lopez,9.52,10.0.1.5,5047.46,0
carlos.lopez,8.75,192.168.1.20,65602.04,1
carlos.lopez,8.25,192.168.1.20,35863.85,0
carlos.lopez,8.31,26.199.131.238,1045.4,1
carlos.lopez,7.83,10.0.1.6,17183.88,0
ana.garcia,10.67,192.168.1.10,12124.09,0
ana.garcia,7.54,192.168.1.10,28653.37,0
carlos.lopez,8.98,10.0.1.6,86.81,0
juan.rodriguez,7.18,10.0.3.8,91370.11,1
carlos.lopez,10.69,192.168.1.20,29151.8,0
carlos.lopez,9.42,123.13.126.118,34556.33,0
maria.perez,8.72,13.23.3.237,5582.27,0
ana.garcia,5.63,10.0.0.1,125925.34,1
maria.perez,10.4,10.0.2.4,205720.78,1
ana.garcia,8.55,192.168.1.10,24438.41,1
maria.perez,9.96,10.0.2.3,25000.34,0
ana.garcia,9.96,192.168.1.10,914.21,0
carlos.lopez,7.08,10.0.1.5,20018.91,1
maria.perez,9.02,192.168.1.30,8860.68,0
maria.perez,7.05,192.168.1.30,97503.16,0
ana.garcia,9.37,10.0.0.2,21391.55,0
maria.perez,7.88,10.0.2.3,10214.22,1
carlos.lopez,10.49,192.168.1.20,4116.08,0
juan.rodriguez,7.37,192.168.1.40,14559.47,0
maria.perez,8.8,39.107.235.131,980.2,1
carlos.lopez,8.06,10.0.1.6,32010.73,0
carlos.lopez,7.29,10.0.1.5,5455.68,2
carlos.lopez,6.21,10.0.1.6,3600.22,0
ana.garcia,4.99,192.168.1.10,16279.23,0
juan.rodriguez,7.87,192.168.1.40,18017.33,0
carlos.lopez,8.5,189.251.96.205,97208.51,0
maria.perez,9.55,10.0.2.4,33407.76,0
maria.perez,8.46,10.0.2.3,8361.3,0
ana.garcia,9.02,10.0.0.1,44920.88,1
maria.perez,6.84,10.0.2.4,107033.56,0
juan.rodriguez,6.99,10.0.3.7,47337.34,0
carlos.lopez,7.49,63.166.172.126,31361.33,0
ana.garcia,8.84,10.0.0.1,10539.76,3
carlos.lopez,10.87,10.0.1.5,4554.19,1
carlos.lopez,8.39,10.0.1.6,11103.68,1
maria.perez,9.72,192.168.1.30,38328.68,1
ana.garcia,8.07,10.0.0.1,103344.69,0
carlos.lopez,7.39,10.0.1.5,37472.88,0
ana.garcia,10.48,10.0.0.1,132231.28,0
maria.perez,11.05,10.0.2.4,18054.51,2
carlos.lopez,11.82,10.0.1.6,80414.99,0
carlos.lopez,9.01,34.23.123.212,8293.39,0
juan.rodriguez,7.27,192.168.1.40,16656.11,1
ana.garcia,9.74,192.168.1.10,19788.07,0
carlos.lopez,4.6,192.168.1.20,60581.6,0
maria.perez,9.72,10.0.2.4,7821.99,1
ana.garcia,9.0,192.168.1.10,77152.07,0
ana.garcia,8.84,10.0.0.2,55098.7,0
juan.rodriguez,10.39,10.0.3.8,26292.94,0
ana.garcia,9.93,10.0.0.2,43653.49,0
maria.perez,6.87,10.0.2.4,43272.81,0
juan.rodriguez,10.1,10.0.3.8,36162.12,1
ana.garcia,9.91,192.168.1.10,7507.38,1
maria.perez,10.97,192.168.1.30,7653.86,0
maria.perez,9.2,10.0.2.3,11388.45,0
maria.perez,9.95,192.168.1.30,39942.17,0
ana.garcia,10.13,192.168.1.10,12377.13,1
carlos.lopez,7.43,10.0.1.5,31731.78,0
ana.garcia,9.93,192.168.1.10,27670.76,0
juan.rodriguez,5.84,148.155.190.65,71071.8,0
maria.perez,9.3,192.168.1.30,4056.51,0
maria.perez,10.48,192.168.1.30,146705.34,1
juan.rodriguez,10.05,10.0.3.8,66398.03,0
carlos.lopez,9.81,192.168.1.20,46983.29,1
ana.garcia,12.67,192.168.1.10,13595.29,0
maria.perez,9.18,10.0.2.3,12446.17,0
maria.perez,10.7,192.168.1.30,828.24,0
carlos.lopez,11.17,192.168.1.20,52756.91,0
ana.garcia,6.61,10.0.0.2,21737.54,0
carlos.lopez,8.12,158.161.18.239,72175.13,0
ana.garcia,9.17,10.0.0.2,107594.58,0
ana.garcia,8.58,10.0.0.1,64960.83,0
maria.perez,8.02,9.132.27.25,19569.09,0
ana.garcia,9.9,10.0.0.2,25280.31,1
juan.rodriguez,10.96,192.168.1.40,69865.71,1
ana.garcia,9.15,192.168.1.10,5283.41,0
carlos.lopez,7.52,10.0.1.6,3.56,0
juan.rodriguez,8.72,192.168.1.40,86283.92,0
ana.garcia,5.85,10.0.0.1,36113.16,1
carlos.lopez,10.93,10.0.1.6,18183.85,0
maria.perez,11.58,192.168.1.30,10058.76,0
maria.perez,10.04,192.168.1.30,11911.8,0
ana.garcia,9.28,210.217.35.251,64970.37,0
maria.perez,9.0,243.222.116.49,8579.82,0
juan.rodriguez,6.74,10.0.3.7,43637.24,1
carlos.lopez,8.45,10.0.1.5,21267.86,0
carlos.lopez,8.87,10.0.1.6,21808.14,0
juan.rodriguez,9.63,10.0.3.7,88420.19,0
juan.rodriguez,8.98,10.0.3.7,38647.58,0
juan.rodriguez,8.79,10.0.3.7,25155.71,1
carlos.lopez,11.94,10.0.1.5,86465.96,0
juan.rodriguez,7.02,10.0.3.7,8930.26,0
maria.perez,7.99,192.168.1.30,2358.16,0
carlos.lopez,10.33,10.0.1.5,210331.31,1
juan.rodriguez,6.28,10.0.3.7,4333.62,1
ana.garcia,9.62,209.113.12.54,47303.28,1
carlos.lopez,9.85,192.168.1.20,17436.49,0
juan.rodriguez,5.57,192.168.1.40,65955.24,0
carlos.lopez,9.86,192.168.1.20,14754.62,0
ana.garcia,11.53,10.0.0.2,90140.21,2
carlos.lopez,6.66,192.168.1.20,51706.59,0
maria.perez,7.91,192.168.1.30,79567.21,0
carlos.lopez,8.28,192.168.1.20,19014.92,0
carlos.lopez,8.93,10.0.1.6,87171.16,0
juan.rodriguez,9.89,10.0.3.8,32047.8,1
juan.rodriguez,9.04,192.168.1.40,76877.69,0
maria.perez,10.79,10.0.2.3,66867.96,0
carlos.lopez,9.38,192.168.1.20,61910.29,0
juan.rodriguez,9.25,10.0.3.8,39636.04,0
juan.rodriguez,10.27,202.218.217.48,123084.0,1
ana.garcia,9.92,10.0.0.1,60031.28,1
juan.rodriguez,4.83,10.0.3.8,13453.44,1
ana.garcia,9.85,10.0.0.1,1646.68,0
maria.perez,10.79,10.0.2.4,49755.81,0
juan.rodriguez,9.34,10.0.3.8,10850.13,0
carlos.lopez,10.11,10.0.1.5,6982.25,1
ana.garcia,11.79,192.168.1.10,41852.88,1
carlos.lopez,9.64,10.0.1.6,135101.32,2
ana.garcia,10.37,180.99.12.79,206805.3,0
juan.rodriguez,10.08,192.168.1.40,19603.02,1
ana.garcia,8.62,192.168.1.10,125199.8,0
ana.garcia,8.43,10.0.0.1,9123.5,1
juan.rodriguez,6.73,158.214.92.240,28434.84,1
carlos.lopez,9.44,139.112.180.195,48545.12,0
carlos.lopez,6.37,10.0.1.5,18333.93,1
ana.garcia,7.99,10.0.0.1,9169.86,0
ana.garcia,11.79,10.0.0.2,135546.61,1
maria.perez,8.51,192.168.1.30,13404.35,0
ana.garcia,9.38,10.0.0.2,28034.38,1
maria.perez,6.65,33.89.29.24,14385.28,0
maria.perez,9.04,192.168.1.30,57908.74,0
maria.perez,9.27,10.0.2.3,41763.99,0
juan.rodriguez,10.12,184.194.48.209,115566.04,0
ana.garcia,8.87,10.0.0.1,18091.38,0
juan.rodriguez,8.0,192.168.1.40,13147.42,0
maria.perez,9.44,5.120.126.228,88799.85,0
juan.rodriguez,8.84,192.168.1.40,44882.7,0
ana.garcia,9.14,192.168.1.10,95925.93,0
juan.rodriguez,7.72,192.168.1.40,48596.92,0
ana.garcia,6.96,192.168.1.10,91954.58,0
carlos.lopez,8.98,10.0.1.5,182697.56,0
maria.perez,6.81,10.0.2.3,12585.8,0
carlos.lopez,9.17,10.0.1.6,63229.12,0
juan.rodriguez,6.94,10.0.3.8,2597.02,0
carlos.lopez,8.07,10.0.1.5,12906.59,0
ana.garcia,7.27,192.168.1.10,116127.66,1
carlos.lopez,9.5,10.0.1.6,11434.97,0
juan.rodriguez,12.0,192.168.1.40,12123.28,0
maria.perez,6.0,10.0.2.3,75475.04,1
maria.perez,6.1,164.120.156.113,167692.79,1
juan.rodriguez,10.8,10.0.3.8,67538.51,0
carlos.lopez,9.46,10.0.1.6,11063.13,0
juan.rodriguez,10.12,192.168.1.40,134357.75,1
juan.rodriguez,9.36,192.168.1.40,99129.7,0
maria.perez,7.8,10.0.2.3,9061.71,0
ana.garcia,8.13,10.0.0.1,49139.59,0
juan.rodriguez,10.16,192.168.1.40,32960.92,0
carlos.lopez,7.78,10.0.1.6,12971.01,1
ana.garcia,10.09,192.168.1.10,26249.03,1
carlos.lopez,6.82,192.168.1.20,55268.46,1
ana.garcia,10.78,192.168.1.10,6066.59,0
juan.rodriguez,6.57,10.0.3.7,46286.01,0
ana.garcia,6.92,10.0.0.2,49793.93,1
maria.perez,9.48,19.63.253.186,88988.13,0
carlos.lopez,6.87,10.0.1.6,27503.26,0
ana.garcia,8.67,192.168.1.10,45039.5,0
ana.garcia,9.12,65.131.103.237,249012.07,0
ana.garcia,7.86,192.168.1.10,22362.41,0
maria.perez,9.29,10.0.2.3,5352.76,0
juan.rodriguez,10.62,10.0.3.7,122509.69,0
maria.perez,9.42,27.186.248.113,42106.97,0
juan.rodriguez,9.75,192.168.1.40,33947.23,0
juan.rodriguez,9.08,10.0.3.7,56379.02,0
juan.rodriguez,8.24,192.168.1.40,61974.75,0
carlos.lopez,6.65,10.0.1.6,311165.03,2
carlos.lopez,11.7,163.57.24.152,380733.3,0
carlos.lopez,7.95,10.0.1.6,52869.87,0
juan.rodriguez,8.66,10.0.3.7,97828.11,1
maria.perez,6.75,10.0.2.3,26451.96,0
maria.perez,9.96,192.168.1.30,74912.0,1
ana.garcia,6.64,10.0.0.1,53481.97,0
maria.perez,9.62,192.168.1.30,18137.92,0
ana.garcia,7.31,10.0.0.1,96908.03,0
maria.perez,11.85,10.0.2.3,4187.03,1
maria.perez,5.59,10.0.2.3,201389.48,2
ana.garcia,9.91,10.0.0.1,14059.42,0
ana.garcia,11.88,10.0.0.1,97559.58,0
ana.garcia,9.11,10.0.0.2,67416.63,0
juan.rodriguez,6.84,192.168.1.40,35919.86,0
carlos.lopez,7.77,10.0.1.6,37579.68,1
ana.garcia,10.01,192.168.1.10,21386.28,0
ana.garcia,10.34,10.0.0.2,72851.71,0
juan.rodriguez,10.65,10.0.3.7,38524.76,0
maria.perez,9.11,10.0.2.4,143456.6,0
maria.perez,7.42,10.0.2.4,19563.94,0
ana.garcia,13.21,192.168.1.10,111453.41,1
juan.rodriguez,11.56,192.168.1.40,35755.31,0
juan.rodriguez,7.32,10.0.3.7,25319.4,0
ana.garcia,7.52,10.0.0.2,54454.45,0
carlos.lopez,9.45,10.0.1.5,69.05,0
ana.garcia,8.55,192.168.1.10,17303.43,0
ana.garcia,8.15,10.0.0.2,27657.09,0
maria.perez,8.39,10.0.2.3,21296.95,0
ana.garcia,9.06,10.0.0.2,29169.74,0
juan.rodriguez,8.99,10.0.3.8,89183.64,0
maria.perez,5.84,82.52.97.135,96046.39,0
juan.rodriguez,11.34,112.234.231.148,22477.11,0
juan.rodriguez,9.62,10.0.3.7,39487.75,0
maria.perez,11.22,10.0.2.4,17243.16,0
carlos.lopez,6.75,10.0.1.5,330203.94,0
ana.garcia,8.42,10.0.0.1,32902.7,0
ana.garcia,10.01,192.168.1.10,1480.06,1
maria.perez,6.9,192.168.1.30,1963.01,1
carlos.lopez,9.24,10.0.1.6,105105.2,0
juan.rodriguez,10.31,10.0.3.7,22963.15,1
maria.perez,10.09,192.168.1.30,59729.31,0
carlos.lopez,11.13,10.0.1.6,13071.9,0
ana.garcia,7.4,10.0.0.2,98033.89,0
juan.rodriguez,7.83,192.168.1.40,2827.48,0
ana.garcia,6.67,10.0.0.1,62832.87,1
ana.garcia,9.9,10.0.0.1,240566.14,0
juan.rodriguez,9.22,50.231.60.247,81054.79,0
ana.garcia,10.79,192.168.1.10,32048.78,0
maria.perez,6.8,10.0.2.3,65640.74,1
maria.perez,7.21,130.34.187.6,17038.59,0
carlos.lopez,8.39,133.187.25.55,19636.11,0
ana.garcia,7.98,192.168.1.10,76814.63,0
ana.garcia,5.73,192.168.1.10,4056.85,0
juan.rodriguez,7.69,10.0.3.8,73470.51,0
maria.perez,8.02,10.0.2.4,97912.72,0
juan.rodriguez,8.57,192.168.1.40,88173.18,0
carlos.lopez,8.65,10.0.1.5,729.14,0
carlos.lopez,8.35,10.0.1.5,19125.8,0
carlos.lopez,11.54,10.0.1.5,68275.87,0
carlos.lopez,11.36,10.0.1.5,4997.98,1
juan.rodriguez,7.82,10.0.3.8,48769.02,0
juan.rodriguez,6.96,10.0.3.8,82302.22,0
juan.rodriguez,9.13,10.0.3.8,8374.53,0
carlos.lopez,12.32,192.168.1.20,15558.64,0
maria.perez,6.89,38.49.5.20,16904.27,0
carlos.lopez,7.1,74.121.5.34,5461.34,1
juan.rodriguez,8.01,10.0.3.8,81830.73,0
juan.rodriguez,9.19,192.168.1.40,62987.43,0
ana.garcia,5.1,10.0.0.1,134121.43,1
maria.perez,8.4,10.0.2.3,29232.05,0
carlos.lopez,7.51,10.0.1.5,4505.2,0
carlos.lopez,7.85,192.168.1.20,96881.76,0
carlos.lopez,9.15,10.0.1.5,6736.29,0
maria.perez,13.29,10.0.2.3,6838.73,2
ana.garcia,7.36,181.125.87.134,32484.74,0
ana.garcia,8.74,10.0.0.2,13475.68,0
ana.garcia,8.49,192.168.1.10,19597.21,0
ana.garcia,8.14,192.168.1.10,32652.87,0
carlos.lopez,7.63,10.0.1.6,24939.93,2
ana.garcia,8.86,192.168.1.10,133749.61,1
carlos.lopez,9.2,10.0.1.5,77464.46,0
juan.rodriguez,7.79,192.168.1.40,72906.5,0
juan.rodriguez,7.93,192.168.1.40,56723.43,0
juan.rodriguez,7.43,192.168.1.40,21884.29,0
carlos.lopez,10.37,192.168.1.20,28009.87,1
carlos.lopez,9.32,192.168.1.20,13112.68,0
carlos.lopez,9.1,10.0.1.5,62121.19,0
ana.garcia,9.63,192.168.1.10,28284.73,2
carlos.lopez,8.47,10.0.1.6,110895.83,0
ana.garcia,8.86,239.30.90.144,48719.88,0
carlos.lopez,10.4,10.0.1.6,7884.26,0
ana.garcia,7.73,169.67.228.66,43812.81,0
ana.garcia,10.02,10.0.0.2,11661.13,1
ana.garcia,10.95,192.168.1.10,14014.11,0
juan.rodriguez,6.44,88.80.83.91,107123.09,0
carlos.lopez,9.5,10.0.1.5,60237.13,0
maria.perez,8.44,10.0.2.3,56820.39,0
juan.rodriguez,6.39,192.168.1.40,5001.39,0
juan.rodriguez,9.82,10.0.3.8,15322.26,0
maria.perez,9.26,10.0.2.3,20272.14,0
carlos.lopez,7.78,10.0.1.6,149486.91,0
carlos.lopez,10.62,10.0.1.6,207421.89,1
maria.perez,10.19,109.204.117.5,42501.18,0
ana.garcia,9.02,10.0.0.1,103296.27,0
maria.perez,7.85,10.0.2.4,175036.49,0
juan.rodriguez,9.23,10.0.3.7,12050.22,0
juan.rodriguez,7.38,192.168.1.40,7716.0,0
maria.perez,8.94,10.0.2.3,32014.53,1
ana.garcia,6.91,10.0.0.2,1686.31,0
carlos.lopez,7.88,192.168.1.20,115321.29,1
maria.perez,5.43,10.0.2.3,12266.53,0
carlos.lopez,10.63,10.0.1.6,8947.44,0
juan.rodriguez,8.71,10.0.3.7,3373.96,1
carlos.lopez,8.32,192.168.1.20,71184.16,0
ana.garcia,9.19,85.54.32.51,18752.46,0
juan.rodriguez,9.02,10.0.3.8,8747.29,0
ana.garcia,10.05,192.168.1.10,12584.87,0
carlos.lopez,10.71,10.0.1.5,33468.22,0
ana.garcia,12.86,10.0.0.1,5859.49,0
juan.rodriguez,7.66,10.0.3.7,61386.4,0
carlos.lopez,11.9,192.168.1.20,53850.61,0
maria.perez,9.42,192.168.1.30,120126.56,0
juan.rodriguez,8.57,192.168.1.40,10022.7,0
carlos.lopez,10.89,10.0.1.6,14467.26,0
ana.garcia,5.67,10.0.0.1,3657.86,0
juan.rodriguez,6.67,192.168.1.40,916.57,0
carlos.lopez,13.15,192.168.1.20,8744.59,0
juan.rodriguez,8.71,10.0.3.8,478.33,0
ana.garcia,8.74,192.168.1.10,2303.11,0
maria.perez,9.93,10.0.2.4,82066.15,1
maria.perez,9.49,10.0.2.4,97690.61,0
juan.rodriguez,8.47,192.168.1.40,31015.47,0
carlos.lopez,8.42,10.0.1.5,53719.53,0
ana.garcia,8.83,10.0.0.1,36459.36,0
ana.garcia,7.95,10.0.0.1,55060.13,1
juan.rodriguez,8.22,10.0.3.8,183046.15,0
ana.garcia,10.68,10.0.0.2,65562.9,0
carlos.lopez,7.26,10.0.1.6,12747.54,0
juan.rodriguez,8.33,10.0.3.8,16334.18,1
juan.rodriguez,7.7,10.0.3.8,15311.92,0
juan.rodriguez,8.2,192.168.1.40,59433.07,0
ana.garcia,10.66,192.168.1.10,40290.61,0
maria.perez,5.51,10.0.2.4,21331.54,0
carlos.lopez,9.15,10.0.1.5,22749.76,1
juan.rodriguez,6.72,10.0.3.7,34363.08,0
juan.rodriguez,7.56,192.168.1.40,47113.42,1
ana.garcia,8.81,10.0.0.1,93171.58,0
maria.perez,10.23,10.0.2.3,2443.37,0
juan.rodriguez,10.23,192.168.1.40,3603.11,2
juan.rodriguez,10.49,10.0.3.8,14852.33,0
maria.perez,7.03,10.0.2.3,16481.24,0
juan.rodriguez,8.34,10.0.3.7,17876.2,0
carlos.lopez,8.35,232.13.230.241,86252.99,0
juan.rodriguez,9.32,10.0.3.8,99702.75,0
ana.garcia,9.33,10.0.0.1,19246.05,0
ana.garcia,10.27,192.168.1.10,27028.44,0
ana.garcia,10.22,10.0.0.2,37404.8,0
carlos.lopez,12.32,192.168.1.20,12015.09,0
juan.rodriguez,9.83,10.0.3.7,1854.71,0
carlos.lopez,10.38,10.0.1.5,30942.74,0
maria.perez,8.1,10.0.2.4,138258.05,0
maria.perez,9.02,10.0.2.4,47246.92,0
maria.perez,11.67,10.0.2.3,2870.46,1
juan.rodriguez,10.02,10.0.3.8,18922.62,0
carlos.lopez,10.72,192.168.1.20,126097.73,0
juan.rodriguez,10.57,126.23.95.104,84153.22,1
juan.rodriguez,10.18,192.168.1.40,3926.85,0
carlos.lopez,6.4,10.0.1.6,44347.24,1
maria.perez,9.58,10.0.2.4,39450.01,0
carlos.lopez,11.24,219.90.223.231,13787.74,1
juan.rodriguez,9.3,10.0.3.8,26922.28,0
carlos.lopez,9.96,192.168.1.20,77168.38,0
juan.rodriguez,7.78,10.0.3.8,51040.37,0
ana.garcia,10.45,192.168.1.10,41446.47,0
maria.perez,9.12,192.168.1.30,16062.94,2
juan.rodriguez,10.07,10.0.3.7,59532.46,0
carlos.lopez,6.13,192.168.1.20,19766.42,0
ana.garcia,9.31,10.0.0.1,35682.76,1
carlos.lopez,7.0,10.0.1.5,30726.27,0
maria.perez,6.21,10.0.2.3,68360.56,1
maria.perez,7.97,10.0.2.4,13305.92,0
juan.rodriguez,8.77,10.0.3.8,29730.74,0
ana.garcia,9.14,99.97.16.223,89425.83,1
juan.rodriguez,8.51,192.168.1.40,118968.85,0
maria.perez,8.87,10.0.2.4,51175.55,0
maria.perez,11.46,192.168.1.30,38814.74,1
carlos.lopez,9.24,10.0.1.5,7530.96,0
maria.perez,9.4,192.168.1.30,39348.34,1
maria.perez,8.48,10.0.2.4,92542.1,0
ana.garcia,8.59,10.0.0.2,22417.27,0
ana.garcia,8.3,10.0.0.2,33120.67,0
carlos.lopez,9.76,192.168.1.20,71052.77,0
ana.garcia,10.49,192.168.1.10,26658.34,0
juan.rodriguez,8.64,10.0.3.8,58672.74,1
maria.perez,8.45,192.168.1.30,39526.65,0
maria.perez,9.59,134.156.26.150,3983.64,1
carlos.lopez,8.74,192.168.1.20,1720.33,1
juan.rodriguez,10.06,10.0.3.8,20451.38,0
carlos.lopez,9.17,10.0.1.6,21399.92,0
ana.garcia,10.93,192.168.1.10,138338.66,0
maria.perez,7.64,10.0.2.4,20599.06,0
juan.rodriguez,7.05,10.0.3.7,76753.74,0
maria.perez,7.58,10.0.2.4,9152.23,0
juan.rodriguez,9.97,10.0.3.7,6595.57,0
ana.garcia,10.57,10.0.0.1,2110.69,0
ana.garcia,6.57,192.168.1.10,133513.98,1
maria.perez,10.13,192.168.1.30,75915.71,0
juan.rodriguez,10.33,192.168.1.40,92975.91,0
juan.rodriguez,10.24,10.0.3.7,61508.98,0
juan.rodriguez,8.75,10.0.3.8,848.62,1
carlos.lopez,7.48,192.168.1.20,3081.32,0
ana.garcia,9.58,192.168.1.10,79912.47,0
carlos.lopez,8.33,10.0.1.6,110802.17,0
juan.rodriguez,10.65,10.0.3.7,66179.02,0
carlos.lopez,9.86,10.0.1.6,1317.04,0
carlos.lopez,7.53,58.10.191.158,158857.77,0
carlos.lopez,8.15,10.0.1.5,67802.06,0
carlos.lopez,9.01,10.0.1.6,3992.09,0
carlos.lopez,10.26,10.0.1.5,1358.19,1
maria.perez,8.83,33.145.157.164,102679.56,0
