num_hosts_afectados,tipo_evento_cod,bytes_exfiltrados,duracion_seg,privilegios_elevados,severity
2,6,0,1542,1,0
1,3,65479,850,0,1
4,6,202587,3244,1,3
12,6,168780,1947,0,3
3,7,144288,362,1,2
3,5,57394,2494,1,1
4,8,11483,164,1,1
8,2,26350,994,1,2
4,7,192456,2599,0,2
6,1,91832,1826,1,1
2,1,0,2742,1,0
2,8,0,2060,0,0
3,5,240993,3036,0,3
6,6,22896,2029,0,1
3,6,43955,213,1,1
4,7,39687,265,1,1
8,3,33345,2799,1,3
1,2,0,148,1,0
1,1,0,1361,0,0
1,8,38462,67,1,1
1,3,55647,1098,0,1
5,6,20000,2146,0,2
3,5,49329,631,0,1
3,2,56762,1683,0,1
13,4,121722,3585,1,3
0,1,0,263,1,0
3,2,64968,238,1,2
3,2,44808,983,0,2
5,8,57479,2978,0,1
8,6,269562,1466,0,3
3,9,43775,2305,1,1
5,4,42588,131,0,3
3,2,97293,2648,0,1
6,6,99972,252,1,2
5,9,51126,2565,1,2
9,5,196215,541,1,3
5,1,38769,3091,0,1
2,3,94401,1073,1,1
0,9,0,669,0,0
5,5,59512,1218,1,1
8,9,176691,12,0,3
0,5,0,602,1,0
8,1,164805,2158,1,3
6,8,39632,1089,1,2
0,7,0,1280,0,0
6,7,78248,2907,0,1
4,9,191000,454,1,2
6,2,39320,1431,1,1
2,9,0,678,0,0
4,3,118784,1743,0,2
2,9,144698,1200,0,2
2,2,0,175,0,0
3,5,12253,262,0,1
1,8,0,3069,0,0
9,1,67228,214,0,2
5,1,65968,2819,0,2
4,8,103468,3298,1,2
7,1,265683,1682,0,3
6,6,38367,1130,0,3
5,9,83425,2796,0,1
2,6,0,3536,1,0
2,5,130734,442,0,2
4,4,213141,3472,0,3
11,6,61158,3398,0,3
1,6,0,521,0,0
0,5,0,206,0,0
0,2,0,2576,0,0
1,6,0,288,1,0
9,7,128710,2166,0,2
4,7,78162,242,0,2
2,1,45645,2489,1,1
6,7,52886,841,1,1
3,7,41136,355,1,3
5,2,75343,249,0,1
3,8,56985,686,0,3
4,5,153816,1951,0,3
1,5,68949,285,1,1
1,7,0,2890,0,0
10,5,298797,2178,1,3
4,5,87900,1077,1,2
1,3,11422,3551,1,1
3,9,138554,2374,0,2
8,9,120364,2422,1,2
3,2,202887,634,0,3
4,7,77590,2561,1,1
9,1,158421,2017,1,3
14,4,253227,3544,1,3
1,9,0,1726,0,0
2,2,0,2444,1,0
4,4,48532,1234,0,2
0,2,0,154,0,0
4,7,33543,469,0,1
4,5,72705,3122,1,1
8,6,246282,2659,1,3
5,9,261918,1319,0,3
2,5,0,2515,1,0
13,7,63018,25,1,3
1,1,0,143,0,0
9,2,186712,1830,1,2
6,9,132822,2253,1,3
7,8,37023,3373,0,3
1,6,0,2737,0,0
12,4,255771,933,1,3
0,2,0,2936,0,0
5,8,33812,1774,1,2
5,8,74989,2975,0,1
5,3,27516,633,0,1
1,6,0,104,0,0
14,6,31050,217,1,3
2,5,64179,3567,1,1
4,9,100146,299,1,2
3,2,88034,3382,0,1
6,3,40092,2619,1,1
4,1,85242,534,1,3
0,7,0,3112,0,0
7,6,56028,527,1,2
10,9,101196,524,0,2
2,5,17844,2076,1,1
3,2,46213,1045,1,1
0,5,0,1054,0,0
5,1,237267,710,0,3
11,7,202059,2191,1,3
2,7,0,106,0,0
2,8,0,889,0,0
0,4,0,1996,0,0
0,3,0,1756,1,0
3,1,63588,2522,0,3
12,4,250929,786,0,3
2,5,0,2335,1,0
8,7,151950,2738,0,2
0,7,0,1403,1,0
4,2,54642,931,1,1
3,3,35972,2002,1,2
6,5,86640,2088,0,2
5,4,139851,347,1,3
2,1,0,2038,1,0
1,8,0,563,0,0
6,7,61161,2052,0,1
4,5,95559,3355,0,1
8,3,147798,1938,0,3
10,8,141024,2743,0,3
6,1,85285,1121,0,1
6,5,210195,3322,0,3
1,8,57013,2927,0,1
10,9,102214,3300,0,2
1,3,73504,2672,1,1
0,6,0,2341,0,0
5,2,162459,1894,0,3
0,2,0,3342,0,0
1,4,0,3055,0,0
0,8,0,1505,0,0
3,7,51587,317,0,1
2,5,0,22,1,0
0,3,0,848,1,0
2,2,61858,234,1,2
14,3,242379,769,1,3
2,2,0,403,1,0
1,2,14649,3531,0,1
10,7,83220,352,1,2
7,2,111717,2260,1,3
4,1,179596,1272,1,2
12,5,278721,635,1,3
4,3,167466,2527,0,2
4,5,57520,3494,1,1
2,2,0,2848,1,0
10,2,114099,3511,0,3
11,4,238680,2128,0,3
1,7,0,2428,1,0
2,4,68804,535,0,2
2,5,0,3070,0,0
10,5,108966,2694,0,2
3,3,110934,921,1,3
1,3,0,1283,0,0
3,4,43877,2203,0,1
1,1,0,56,0,0
4,7,120440,2946,0,2
11,6,252228,1017,1,3
0,3,0,279,1,0
4,4,91193,1196,1,1
10,3,124770,3010,1,3
3,6,88972,994,1,1
2,7,0,1945,0,0
4,1,96363,2924,1,1
3,4,83180,131,0,2
5,1,61100,2738,1,2
4,5,62584,1046,1,1
10,3,281592,2507,0,3
8,4,182110,685,1,2
5,5,61409,509,1,1
3,3,70293,2839,0,3
4,4,144072,2910,1,3
1,7,74270,3532,0,1
0,8,0,2441,0,0
4,1,82184,1682,0,2
2,4,81668,709,0,2
1,8,0,1069,1,0
10,5,71938,2336,1,2
14,2,210729,1252,1,3
1,6,0,1745,1,0
6,2,198810,613,1,2
2,1,0,1587,0,0
4,6,125978,864,0,2
4,5,54690,412,1,1
0,7,0,483,1,0
6,4,269694,1870,0,3
0,8,0,1325,1,0
6,4,133426,368,0,2
2,7,0,1856,0,0
9,1,170661,599,0,3
8,1,53278,65,0,2
11,8,145719,485,0,3
4,8,31739,1620,1,1
4,9,51796,3435,1,1
7,3,130726,877,1,2
13,1,86502,1032,0,3
4,9,97344,881,1,3
2,6,0,1285,1,0
10,3,87990,2585,0,2
2,7,0,1166,0,0
4,9,74185,2370,0,1
3,3,223488,3234,1,3
2,7,84354,3406,1,1
12,8,235194,2031,1,3
3,5,99277,2570,1,1
0,6,0,3309,1,0
4,3,35813,2834,0,1
4,9,175326,1086,1,2
12,9,101499,483,0,3
2,9,72388,422,1,2
12,7,253692,3176,1,3
13,1,268035,2006,1,3
10,4,121620,1073,0,3
6,5,151292,1250,1,2
1,9,93015,1021,1,1
4,5,81887,2888,1,1
1,5,0,2208,1,0
2,2,69812,3167,0,1
8,8,75870,1093,0,3
4,4,86170,1706,0,1
1,1,0,447,1,0
4,9,198756,3497,0,2
11,2,77877,1847,1,3
4,1,143442,1995,0,3
5,1,31067,1495,1,1
6,5,83252,982,0,1
9,1,90828,3414,1,2
2,8,0,1765,0,0
1,5,16049,2432,0,1
1,3,0,143,1,0
6,1,275982,1000,0,3
4,5,186850,2896,0,2
13,2,86346,325,0,3
9,9,136494,374,1,3
10,3,140460,2917,0,3
1,5,0,1118,0,0
10,1,175080,993,1,3
2,2,0,2039,1,0
4,2,78640,709,0,1
7,1,60638,164,0,2
1,7,38344,25,0,1
2,9,0,294,0,0
0,9,0,579,1,0
10,3,137067,2509,0,3
4,8,92122,1079,1,1
4,5,45467,267,1,1
13,1,182682,61,0,3
0,1,0,1722,0,0
6,5,79461,3026,0,3
4,4,162732,1225,1,3
8,1,121342,239,1,2
2,9,0,828,0,0
0,7,0,1802,0,0
5,5,90564,687,1,1
10,9,129328,3522,0,2
0,9,0,2750,0,0
5,9,76519,1247,0,1
2,3,0,3426,1,0
4,8,90082,1176,1,2
0,5,0,513,0,0
6,7,74322,3378,0,2
2,8,0,3455,0,0
2,2,0,1132,1,0
0,5,0,2145,0,0
5,2,107001,632,0,3
0,3,0,2313,0,0
5,4,54805,2487,1,1
5,8,104938,2558,0,2
9,8,75672,2051,1,2
7,4,124758,2537,1,2
12,3,91167,2002,1,3
5,5,55088,2953,0,1
11,9,62817,654,0,3
3,9,52493,1745,0,1
9,3,241674,1504,0,3
6,2,167210,1924,1,2
4,7,145044,520,0,2
10,3,231324,1172,0,3
10,2,47805,3435,1,3
10,1,122172,387,0,3
6,4,137764,2290,0,2
1,4,0,2396,1,0
3,6,62456,1713,1,1
0,2,0,130,1,0
11,7,103725,133,0,3
1,7,0,999,1,0
0,5,0,378,1,0
0,2,0,348,0,0
4,5,139732,584,0,2
3,7,71356,694,1,2
7,4,241587,3020,0,3
2,3,76525,2303,0,1
3,5,42412,119,1,1
2,4,0,2266,1,0
0,4,0,500,0,0
2,4,70426,1521,1,1
7,3,76110,146,1,3
4,7,65922,333,1,2
6,5,161211,486,0,3
1,5,0,1565,0,0
2,6,0,1672,1,0
6,4,286134,1276,0,3
2,1,0,2236,1,0
2,8,0,2596,1,0
5,1,15447,2626,0,1
4,6,266448,2088,1,3
4,3,62324,1968,1,2
2,2,0,1774,1,0
8,1,163923,864,1,3
13,9,266208,1758,1,3
10,4,78360,46,1,3
13,4,74781,3479,1,3
0,7,0,1338,1,0
8,1,251307,2725,0,3
4,6,58878,3444,0,1
4,5,38679,1794,0,3
8,5,189870,3103,1,2
4,2,136191,1730,0,3
5,9,188476,484,1,2
7,3,176732,105,0,2
4,7,173268,496,0,2
8,7,215961,3393,0,3
6,4,141184,1715,1,2
2,2,0,1155,1,0
5,3,36690,1611,1,3
3,8,89814,928,1,2
2,9,75748,3135,0,1
5,9,166212,3597,1,2
4,3,181080,314,0,3
14,6,221580,2590,0,3
4,2,35871,1214,1,3
4,7,52156,180,1,1
9,4,167085,3320,0,3
4,7,90323,232,1,1
9,7,75988,749,0,2
3,9,61390,101,1,2
1,5,0,1701,1,0
2,4,25335,2162,1,1
1,5,0,1161,1,0
2,2,0,266,1,0
3,2,82100,426,0,1
4,5,97479,3360,1,1
1,8,0,2903,0,0
4,5,32253,3373,0,1
9,8,74128,1915,1,2
1,2,0,1970,1,0
1,5,84455,2831,0,1
6,6,22554,2223,0,1
6,4,25352,1576,1,2
6,1,87450,1057,0,1
6,1,193072,1752,0,2
4,9,30375,239,0,1
4,6,39956,700,0,1
1,3,55286,2657,1,1
0,3,0,3126,1,0
4,1,198356,375,1,2
2,9,0,357,0,0
2,1,11092,317,1,1
3,7,144144,2851,1,3
9,3,180249,1127,0,3
5,4,113040,1183,0,2
3,3,168318,54,0,3
12,8,279105,3501,1,3
5,1,82670,1568,1,1
9,4,97959,2872,0,3
5,3,41975,2550,0,1
4,3,70082,518,0,1
8,2,93860,2886,1,2
9,9,145668,1985,0,3
5,4,75342,2179,0,3
3,4,32893,729,0,1
4,4,153346,3050,1,2
2,9,0,3354,0,0
4,4,241869,1469,1,3
4,4,75410,341,1,2
9,3,44598,3057,1,2
8,3,73116,3195,0,3
6,1,90822,1828,0,2
1,6,0,2089,0,0
3,1,90361,810,1,1
0,3,0,252,1,0
4,2,20486,3399,1,2
1,3,0,1743,1,0
0,7,0,997,1,0
10,6,55604,2498,0,2
5,9,119906,104,1,2
4,4,26104,296,1,2
14,9,120204,881,0,3
3,1,179100,1627,1,3
0,5,0,1326,0,0
4,8,190215,682,0,3
3,5,102806,1271,0,2
6,9,163892,1208,0,2
2,3,0,1893,0,0
5,1,30278,2030,0,2
4,7,115332,3180,1,2
2,1,66240,2906,0,2
2,7,0,1059,0,0
6,7,36790,3250,1,2
4,8,185328,1879,0,3
5,5,198170,683,0,2
2,9,0,1231,0,0
3,2,111489,2672,1,3
12,4,257988,2960,0,3
1,2,0,1353,1,0
4,7,77244,575,0,3
3,7,29181,698,0,1
4,8,157666,381,1,2
1,7,87480,2518,1,1
7,3,127350,1815,0,3
4,1,157932,1629,0,3
4,9,241344,2422,1,3
14,5,77769,2984,0,3
9,1,85692,2865,0,3
2,9,0,502,1,0
6,9,26799,2126,0,1
6,5,158746,3178,1,2
8,7,109464,2788,1,2
0,1,0,1192,1,0
0,1,0,1419,0,0
7,3,190270,3205,0,2
6,6,60552,127,0,2
0,2,0,1896,0,0
1,1,0,426,1,0
2,7,0,3221,1,0
2,7,170728,149,1,2
2,7,0,93,1,0
3,8,34540,1190,1,2
3,8,61052,728,0,1
4,6,89386,1788,0,1
3,5,93036,1085,0,2
10,8,163552,1289,1,2
2,4,183116,2038,0,2
14,1,264813,2022,1,3
7,7,167340,3366,0,3
10,3,218574,1735,1,3
5,9,114618,2035,1,2
3,4,70673,2443,0,1
0,8,0,635,0,0
8,1,114516,2404,0,2
1,6,0,3104,0,0
11,5,206250,1151,0,3
13,5,232794,650,1,3
1,3,0,1252,0,0
7,9,195570,997,0,3
2,4,0,2110,1,0
6,8,125746,3110,1,2
2,4,0,2151,0,0
2,1,12413,460,1,1
10,8,33040,1139,0,2
3,2,126434,2484,0,2
3,3,95032,1195,0,1
14,8,166503,2115,0,3
12,9,150219,2501,0,3
2,9,0,1191,1,0
2,4,141562,2334,0,2
5,7,29984,1439,0,2
4,3,85700,494,0,1
9,7,166952,1346,0,2
4,5,297570,1593,0,3
4,1,106755,18,1,3
7,4,73680,3214,1,3
9,5,73916,1905,1,2
2,3,81956,140,0,1
8,4,89082,3126,1,3
2,5,89868,3080,1,1
3,1,47752,53,1,2
6,2,14398,595,0,1
3,7,29742,1316,1,1
0,4,0,1831,0,0
14,6,192615,2615,1,3
0,6,0,1533,0,0
0,5,0,2206,1,0
8,4,205119,46,0,3
8,5,119848,2374,1,2
4,8,56264,3296,0,1
8,9,38268,1899,1,2
5,3,33376,1643,0,1
2,7,0,1076,1,0
4,9,44338,3435,1,2
0,1,0,129,0,0
10,8,41050,1039,0,2
3,5,242553,507,1,3
12,9,57897,3119,0,3
4,6,18328,1742,0,1
10,8,202203,3321,1,3
6,2,59694,2397,0,2
2,2,41626,2009,0,1
2,9,0,1867,0,0
2,5,29497,737,0,1
9,6,157120,2027,0,2
14,2,216807,2470,0,3
1,3,0,3475,0,0
5,8,143632,1980,0,2
11,3,222636,3380,0,3
4,6,175575,3400,0,3
5,3,62054,1885,0,1
0,3,0,1586,1,0
1,2,50849,522,0,1
12,9,134061,973,1,3
9,9,175530,3165,1,3
6,2,170454,506,1,2
2,4,0,1435,1,0
0,6,0,2518,0,0
4,4,51334,873,1,1
10,7,153168,3507,0,2
2,3,0,2341,1,0
3,1,197920,111,0,2
2,4,165458,897,0,2
2,6,0,2668,0,0
0,2,0,3108,0,0
4,8,62169,3337,0,1
6,1,115000,3065,1,2
9,1,199224,278,0,3
6,5,86523,2629,1,1
1,5,41796,405,0,1
9,3,174174,284,1,3
6,3,71153,2494,0,1
4,1,77786,1726,0,1
2,6,79335,2336,0,1
2,4,0,3066,1,0
3,2,99840,257,1,1
6,4,21730,1903,0,2
6,9,162963,3005,0,3
8,3,129578,1590,1,2
5,9,46551,1889,1,3
6,3,101208,1797,0,2
2,2,0,3266,0,0
5,3,64685,189,0,1
9,3,62136,3161,1,3
2,2,0,2940,1,0
6,6,96084,2926,0,3
3,4,135184,1490,0,2
6,7,39590,1862,0,1
10,5,184290,1334,1,3
6,4,227376,913,0,3
0,5,0,3152,0,0
1,2,0,1826,0,0
8,7,182634,2606,0,2
7,1,74751,371,1,3
2,7,0,2842,0,0
6,9,28092,2375,0,2
2,7,0,3591,1,0
8,5,177182,490,0,2
3,3,57418,1948,0,2
2,8,0,1845,1,0
7,3,95328,1942,1,2
13,5,40785,205,0,3
11,7,149916,1708,0,3
2,9,0,1085,1,0
2,9,0,2226,0,0
0,1,0,843,1,0
3,9,56922,1571,1,1
0,2,0,2235,0,0
13,6,236973,239,1,3
13,9,191115,2834,0,3
10,6,98790,2579,1,3
2,9,0,215,0,0
2,4,0,242,0,0
6,3,279294,3062,1,3
2,3,77774,1027,1,1
8,4,71804,3100,0,2
11,7,212226,1802,1,3
1,5,0,1238,0,0
2,7,0,992,0,0
2,4,0,2375,0,0
2,3,0,403,0,0
0,2,0,1455,1,0
12,5,293016,1251,1,3
7,9,196536,563,1,2
4,8,280782,1276,0,3
8,3,229548,1907,1,3
6,5,45354,2442,0,3
1,7,0,320,1,0
3,6,32063,3141,1,1
6,1,89397,3163,1,3
0,6,0,2494,1,0
0,1,0,3328,0,0
5,2,113972,1546,1,2
7,6,228813,2959,1,3
13,1,64926,2620,0,3
10,4,89925,2029,1,3
2,6,0,654,0,0
11,6,151827,2011,0,3
10,5,177588,3245,1,3
7,1,103302,3544,1,2
11,8,84582,1618,0,3
14,9,253128,899,1,3
2,8,78247,2693,1,1
2,7,0,282,0,0
1,4,41787,552,0,1
1,8,0,2027,0,0
1,5,0,3564,1,0
1,2,0,1190,0,0
6,8,108968,1601,1,2
6,3,68684,1167,1,2
4,9,114104,1591,1,2
4,4,86908,35,0,2
6,8,130028,2145,0,2
4,5,28218,2150,1,2
0,5,0,1142,1,0
5,3,242472,957,0,3
4,8,44264,2744,1,1
0,1,0,684,1,0
4,5,176850,178,1,3
7,4,98882,155,0,2
0,5,0,3175,1,0
0,3,0,1318,1,0
0,6,0,375,1,0
1,4,28848,3165,0,1
1,2,0,543,1,0
5,2,125806,1218,0,2
8,7,179476,84,1,2
3,3,92787,2447,0,3
2,3,125728,2520,0,2
10,6,31556,2726,0,2
8,3,33576,954,0,2
2,4,0,1187,0,0
1,3,0,3377,0,0
4,4,87764,2959,1,2
1,7,0,143,0,0
0,5,0,2493,1,0
1,9,0,2927,0,0
3,7,146454,2017,1,3
4,1,38067,2307,0,1
4,4,166708,13,1,2
4,3,47050,117,0,1
0,6,0,135,0,0
2,3,58253,580,1,1
2,9,0,3567,1,0
7,3,103887,2287,0,3
1,5,0,2818,1,0
6,2,51718,1071,0,1
12,9,208434,3375,0,3
7,9,192302,724,0,2
3,8,48851,3249,1,1
9,4,55966,120,0,2
10,1,231903,83,0,3
3,7,10595,293,0,1
6,4,102420,2852,1,2
12,9,294597,934,0,3
8,7,94596,1629,1,2
5,5,71568,1702,1,1
1,9,0,2844,1,0
1,8,0,1261,1,0
8,5,115785,34,0,3
4,1,114234,1397,0,2
3,1,19382,1044,1,1
2,4,47340,2633,0,1
6,6,94672,2707,0,2
7,1,170284,340,0,2
10,2,42294,2856,1,2
3,7,85842,263,1,1
6,7,93878,2234,0,2
2,1,68621,1407,1,1
9,5,180372,1091,1,3
1,1,0,1744,1,0
0,7,0,1124,1,0
5,8,30201,2859,1,1
6,8,26520,3480,0,2
7,6,155022,2938,1,2
4,6,65931,1586,0,1
12,9,270444,1816,0,3
4,6,51196,1615,1,1
1,5,0,2858,1,0
2,7,0,1992,0,0
4,6,146979,1690,1,3
0,8,0,1480,0,0
12,5,278988,1356,0,3
6,8,20663,1994,0,1
0,1,0,2483,1,0
4,1,29511,1562,0,1
8,1,41492,2905,0,2
5,6,34711,2977,1,1
11,7,68916,1550,0,3
5,2,92234,3273,1,2
2,2,39741,631,0,1
8,8,115226,3356,0,2
12,7,175008,1065,1,3
3,6,10089,2035,0,1
2,5,0,1028,0,0
3,4,24568,1597,0,1
6,1,82575,1230,0,3
2,2,0,2541,0,0
12,9,114951,301,0,3
10,4,118940,3019,1,2
5,7,75600,3254,0,2
4,7,39616,2031,0,1
13,3,156777,1974,0,3
0,2,0,2522,1,0
3,7,39787,724,1,1
3,1,29964,2701,1,1
4,5,46844,795,0,1
5,8,12180,2438,1,1
2,7,0,1107,0,0
1,7,0,2688,1,0
1,1,0,2849,0,0
5,2,39494,759,0,2
5,3,73637,2226,1,1
5,3,42834,1799,0,2
8,2,54854,1065,0,2
4,9,46378,2121,0,2
8,2,179058,3573,1,2
8,7,196628,18,1,2
8,6,122534,3445,1,2
4,6,131178,3082,1,2
6,2,136182,1910,0,2
4,3,64926,2199,0,1
0,6,0,1335,0,0
11,3,296406,473,0,3
2,7,75981,2061,0,1
5,1,35918,2940,0,2
2,1,0,839,0,0
1,7,97705,2584,1,1
7,6,92658,2695,0,2
10,1,56722,2732,1,2
5,9,176328,1230,0,2
6,1,66076,1417,1,1
9,9,181893,1504,1,3
4,7,95614,3076,1,2
8,9,63579,3242,0,3
4,9,89110,1496,0,2
2,3,98744,3492,1,2
8,7,281433,2058,1,3
1,2,0,1392,0,0
13,5,70290,12,1,3
4,3,145431,2203,0,3
9,5,199472,2325,0,2
3,8,106796,3486,0,2
3,4,88242,2588,1,2
3,1,70019,116,1,1
14,3,205167,2045,0,3
0,8,0,2676,1,0
1,5,97111,1792,1,1
3,6,126730,1551,0,2
7,4,45552,2917,1,3
3,3,46681,2204,1,1
6,6,93057,2456,1,1
0,6,0,1676,0,0
0,9,0,1008,1,0
1,6,0,1873,0,0
2,9,0,3453,0,0
4,8,265524,2173,1,3
7,1,70278,2549,1,3
7,4,169521,455,1,3
2,4,0,3556,1,0
1,1,0,888,1,0
6,2,70616,3496,1,1
6,7,41266,1610,0,2
4,4,51062,3308,1,1
3,2,39722,3211,0,1
2,3,0,2721,0,0
8,3,168016,3299,1,2
